Sample,Number,MISGP_sample_number,Lake,Lake_sub_basin,Waterbody_ID,Lake_lat,Lake_long,Location_within_waterbody,Site_lat,Site_long,State,County,Year_collected,Date_collected,Collector,Microsatellite_strain,Fluridone_response,2_4D_response,Procellacor_response,ITS_ID,Comments,Putative_ID,Date_received,Who_received,Fresh_Frozen_Dried,Extraction_comments,Date_extracted,Who_extracted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_16,16,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 6,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,7/30/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_17,17,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 6,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_18,18,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 6,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_19,19,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 7,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,7/30/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_20,20,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 7,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_21,21,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 7,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_22,22,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 8,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_23,23,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 8,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,7/30/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_24,24,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 8,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_25,25,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 9,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,7/30/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_26,26,NA,Minnetonka,St Albans ,27013304,44.907861,-93.552532,Point 9,NA,NA,MN,Hennepin,2015,NA,Eric Fieldseth,NA,NA,NA,NA,NA,Treated,NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
