Sample,Number,MISGP_sample_number,Lake,Lake_sub_basin,Waterbody_ID,Lake_lat,Lake_long,Location_within_waterbody,Site_lat,Site_long,State,County,Year_collected,Date_collected,Collector,Microsatellite_strain,Fluridone_response,2_4D_response,Procellacor_response,ITS_ID,Comments,Putative_ID,Date_received,Who_received,Fresh_Frozen_Dried,Date Frozen,Extraction_comments,Date_extracted,Who_extracted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1076,1076,,Minnetonka,Smiths,27013302,44.94561,-93.547297,Point T254,,,MN,Hennepin,2015,,Ray Newman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1077,1077,,Minnetonka,Smiths,27013302,44.94561,-93.547297,Point T257,,,MN,Hennepin,2015,,Ray Newman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1078,1078,,Minnetonka,Smiths,27013302,44.94561,-93.547297,Point T257,,,MN,Hennepin,2015,,Ray Newman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1079,1079,,Pend Oreille,,,48.168701,-116.3276,295AQ560 Dover Bay,48.24,-116.61,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,8/17/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1080,1080,,Pend Oreille,,,48.168701,-116.3276,295AQ560 Dover Bay,48.24,-116.61,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1081,1081,,Pend Oreille,,,48.168701,-116.3276,295AQ560 Dover Bay,48.24,-116.61,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1082,1082,,Pend Oreille,,,48.168701,-116.3276,297COC18 ,48.28,-116.55,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,8/17/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1083,1083,,Pend Oreille,,,48.168701,-116.3276,297COC18 ,48.28,-116.55,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1084,1084,,Pend Oreille,,,48.168701,-116.3276,297COC18 ,48.28,-116.55,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1085,1085,,Pend Oreille,,,48.168701,-116.3276,296EAF80,48.27,-116.55,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,8/17/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1086,1086,,Pend Oreille,,,48.168701,-116.3276,296EAF80,48.27,-116.55,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1087,1087,,Pend Oreille,,,48.168701,-116.3276,296EAF80,48.27,-116.55,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1088,1088,,Pend Oreille,,,48.168701,-116.3276,29466700,48.24,-116.44,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,8/17/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1089,1089,,Pend Oreille,,,48.168701,-116.3276,29466700,48.24,-116.44,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1090,1090,,Pend Oreille,,,48.168701,-116.3276,29466700,48.24,-116.44,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1091,1091,,Pend Oreille,,,48.168701,-116.3276,29466B19,48.68,-116.54,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,8/17/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1092,1092,,Pend Oreille,,,48.168701,-116.3276,29466B19,48.68,-116.54,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1093,1093,,Pend Oreille,,,48.168701,-116.3276,29466B19,48.68,-116.54,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1094,1094,,Pend Oreille,,,48.168701,-116.3276,LPO 1,48.24,-116.62,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,8/17/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1095,1095,,Pend Oreille,,,48.168701,-116.3276,LPO 1,48.24,-116.62,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1096,1096,,Pend Oreille,,,48.168701,-116.3276,LPO 1,48.24,-116.62,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1097,1097,,Pend Oreille,,,48.168701,-116.3276,LPO 2,48.16,-116.75,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,8/17/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1098,1098,,Pend Oreille,,,48.168701,-116.3276,LPO 2,48.16,-116.75,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1099,1099,,Pend Oreille,,,48.168701,-116.3276,LPO 2,48.16,-116.75,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1100,1100,,Pend Oreille,,,48.168701,-116.3276,LPO 3,45.15,-116.77,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,8/17/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1101,1101,,Pend Oreille,,,48.168701,-116.3276,LPO 3,45.15,-116.77,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1102,1102,,Pend Oreille,,,48.168701,-116.3276,LPO 3,45.15,-116.77,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1103,1103,,Pend Oreille,,,48.168701,-116.3276,LPO 4,48.15,-116.79,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,8/17/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1104,1104,,Pend Oreille,,,48.168701,-116.3276,LPO 4,48.15,-116.79,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1105,1105,,Pend Oreille,,,48.168701,-116.3276,LPO 4,48.15,-116.79,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1106,1106,,Pend Oreille,,,48.168701,-116.3276,LPO 5,48.2,-116.71,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,8/17/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1107,1107,,Pend Oreille,,,48.168701,-116.3276,LPO 5,48.2,-116.71,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1108,1108,,Pend Oreille,,,48.168701,-116.3276,LPO 5,48.2,-116.71,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1109,1109,,Pend Oreille,,,48.168701,-116.3276,LPO 10 Hawkins Point,48.28,-116.4,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,Duplicate,8/17/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1110,1110,,Pend Oreille,,,48.168701,-116.3276,LPO 10 Hawkins Point,48.28,-116.4,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1111,1111,,Pend Oreille,,,48.168701,-116.3276,LPO 10 Hawkins Point,48.28,-116.4,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1112,1112,,Pend Oreille,,,48.168701,-116.3276,2,48.23,-116.54,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,8/17/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1113,1113,,Pend Oreille,,,48.168701,-116.3276,2,48.23,-116.54,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1114,1114,,Pend Oreille,,,48.168701,-116.3276,2,48.23,-116.54,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1115,1115,,Pend Oreille,,,48.168701,-116.3276,25,48.24,-116.44,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,8/17/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1116,1116,,Pend Oreille,,,48.168701,-116.3276,25,48.24,-116.44,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1117,1117,,Pend Oreille,,,48.168701,-116.3276,25,48.24,-116.44,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1118,1118,,Pend Oreille,,,48.168701,-116.3276,34,48.23,-116.28,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,8/17/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1119,1119,,Pend Oreille,,,48.168701,-116.3276,34,48.23,-116.28,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1120,1120,,Pend Oreille,,,48.168701,-116.3276,34,48.23,-116.28,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1121,1121,,Pend Oreille,,,48.168701,-116.3276,55N,48.23,-116.28,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,8/17/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1122,1122,,Pend Oreille,,,48.168701,-116.3276,55N,48.23,-116.28,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1123,1123,,Pend Oreille,,,48.168701,-116.3276,55N,48.23,-116.28,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#NAME?,,,,,,,,,,,,,,,,,,,,
MYR_1124,1124,,Pend Oreille,,,48.168701,-116.3276,56,48.23,-116.29,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,Duplicate,8/17/15,Emily Martin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1125,1125,,Pend Oreille,,,48.168701,-116.3276,56,48.23,-116.29,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1126,1126,,Pend Oreille,,,48.168701,-116.3276,56,48.23,-116.29,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1127,1127,,Pend Oreille,,,48.168701,-116.3276,57,48.24,-116.3,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,11/13/15,Paula Guastello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1128,1128,,Pend Oreille,,,48.168701,-116.3276,57,48.24,-116.3,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1129,1129,,Pend Oreille,,,48.168701,-116.3276,57,48.24,-116.3,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1130,1130,,Pend Oreille,,,48.168701,-116.3276,58,48.24,-116.3,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,11/13/15,Paula Guastello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1131,1131,,Pend Oreille,,,48.168701,-116.3276,58,48.24,-116.3,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1132,1132,,Pend Oreille,,,48.168701,-116.3276,58,48.24,-116.3,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1133,1133,,Pend Oreille,,,48.168701,-116.3276,101,48.19,-116.44,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,11/13/15,Paula Guastello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1134,1134,,Pend Oreille,,,48.168701,-116.3276,101,48.19,-116.44,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1135,1135,,Pend Oreille,,,48.168701,-116.3276,101,48.19,-116.44,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1136,1136,,Pend Oreille,,,48.168701,-116.3276,109,48.18,-116.44,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,11/13/15,Paula Guastello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1137,1137,,Pend Oreille,,,48.168701,-116.3276,109,48.18,-116.44,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1138,1138,,Pend Oreille,,,48.168701,-116.3276,109,48.18,-116.44,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1139,1139,,Pend Oreille,,,48.168701,-116.3276,114,48.22,-116.37,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,11/13/15,Paula Guastello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1140,1140,,Pend Oreille,,,48.168701,-116.3276,114,48.22,-116.37,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1141,1141,,Pend Oreille,,,48.168701,-116.3276,114,48.22,-116.37,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1142,1142,,Pend Oreille,,,48.168701,-116.3276,139,48.3,-116.42,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,Duplicate,11/13/15,Paula Guastello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1143,1143,,Pend Oreille,,,48.168701,-116.3276,139,48.3,-116.42,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYR_1144,1144,,Pend Oreille,,,48.168701,-116.3276,139,48.3,-116.42,ID,Bonner,2015,,Tom Woolf,,,,,,,,,,,,,8/26/15,Paula Guastello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
